Date,Campus,Bus,Driver,Route,Scheduled Time,Entry Time,Exit Time,First Unload Time,Time Difference between Entry Time and Scheduled Time,Time Difference between First Unload Time and Scheduled Time,NumberUnloadedAtCampus
8/12/2025 12:00:00 AM,Lakewood Middle School,893,Brown K,LAK04 AM,8:05:00 AM,7:56:39 AM,,7:56:39 AM,,,
8/12/2025 12:00:00 AM,Riverside Middle School,900,Taylor B,RIV01 AM,8:05:00 AM,7:52:24 AM,,7:52:24 AM,,,
8/12/2025 12:00:00 AM,Riverside Middle School,901,Williams M,RIV02 AM,8:05:00 AM,7:43:03 AM,,7:43:03 AM,,,
8/12/2025 12:00:00 AM,Riverside Middle School,902,Johnson T,RIV03 AM,8:05:00 AM,7:53:08 AM,,7:53:08 AM,,,
8/12/2025 12:00:00 AM,Riverside Middle School,903,Thomas D,RIV04 AM,8:05:00 AM,7:57:49 AM,,7:57:49 AM,,,
8/12/2025 12:00:00 AM,Metro High School,910,Davis R,MET01 AM,8:55:00 AM,8:30:15 AM,,8:30:15 AM,,,
8/12/2025 12:00:00 AM,Metro High School,911,Anderson C,MET02 AM,8:55:00 AM,8:39:04 AM,,8:39:04 AM,,,
8/12/2025 12:00:00 AM,Metro High School,912,Taylor B,MET03 AM,8:55:00 AM,8:37:11 AM,,8:37:11 AM,,,
8/12/2025 12:00:00 AM,Northgate High School,920,Thomas D,NOR01 AM,8:55:00 AM,8:43:53 AM,,8:43:53 AM,,,
8/12/2025 12:00:00 AM,Northgate High School,921,Johnson T,NOR02 AM,8:55:00 AM,8:40:11 AM,,8:40:11 AM,,,
8/12/2025 12:00:00 AM,Northgate High School,922,Johnson T,NOR03 AM,8:55:00 AM,8:44:05 AM,,8:44:05 AM,,,
8/13/2025 12:00:00 AM,Anderson Elementary,800,Johnson T,AND01 AM,7:35:00 AM,7:23:25 AM,,7:23:25 AM,,,
8/13/2025 12:00:00 AM,Anderson Elementary,801,Anderson C,AND02 AM,7:35:00 AM,7:16:17 AM,,7:16:17 AM,,,
8/13/2025 12:00:00 AM,Anderson Elementary,802,Davis R,AND03 AM,7:35:00 AM,7:22:46 AM,,7:22:46 AM,,,
8/13/2025 12:00:00 AM,Anderson Elementary,803,Brown K,AND04 AM,7:35:00 AM,7:13:08 AM,,7:13:08 AM,,,
8/13/2025 12:00:00 AM,Anderson Elementary,804,Johnson T,AND05 AM,7:35:00 AM,7:15:30 AM,,7:15:30 AM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,810,Williams M,BAM01 AM,7:35:00 AM,7:29:09 AM,,7:29:09 AM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,811,Thomas D,BAM02 AM,7:35:00 AM,7:39:49 AM,,7:39:49 AM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,812,Thomas D,BAM03 AM,7:35:00 AM,7:37:48 AM,,7:37:48 AM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,813,Johnson T,BAM04 AM,7:35:00 AM,7:11:30 AM,,7:11:30 AM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,814,Miller S,BAM05 AM,7:35:00 AM,7:46:37 AM,,7:46:37 AM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,820,Brown K,COO01 AM,7:35:00 AM,7:25:50 AM,,7:25:50 AM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,821,Anderson C,COO02 AM,7:35:00 AM,7:16:05 AM,,7:16:05 AM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,822,Johnson T,COO03 AM,7:35:00 AM,7:46:52 AM,,7:46:52 AM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,823,Thomas D,COO04 AM,7:35:00 AM,7:15:05 AM,,7:15:05 AM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,824,Taylor B,COO05 AM,7:35:00 AM,7:18:52 AM,,7:18:52 AM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,830,Anderson C,HER01 AM,7:35:00 AM,7:30:42 AM,,7:30:42 AM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,831,Taylor B,HER02 AM,7:35:00 AM,7:24:17 AM,,7:24:17 AM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,832,Davis R,HER03 AM,7:35:00 AM,,,7:22:05 AM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,833,Miller S,HER04 AM,7:35:00 AM,7:22:26 AM,,7:22:26 AM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,834,Brown K,HER05 AM,7:35:00 AM,7:22:49 AM,,7:22:49 AM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,840,Miller S,JEN01 AM,7:35:00 AM,7:45:42 AM,,7:45:42 AM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,841,Taylor B,JEN02 AM,7:35:00 AM,7:49:12 AM,,7:49:12 AM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,842,Moore A,JEN03 AM,7:35:00 AM,7:10:09 AM,,7:10:09 AM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,843,Anderson C,JEN04 AM,7:35:00 AM,7:36:46 AM,,7:36:46 AM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,844,Williams M,JEN05 AM,7:35:00 AM,7:49:43 AM,,7:49:43 AM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,850,Davis R,LEW01 AM,7:35:00 AM,7:21:14 AM,,7:21:14 AM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,851,Miller S,LEW02 AM,7:35:00 AM,7:36:20 AM,,7:36:20 AM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,852,Brown K,LEW03 AM,7:35:00 AM,7:28:39 AM,,7:28:39 AM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,853,Miller S,LEW04 AM,7:35:00 AM,7:16:57 AM,,7:16:57 AM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,854,Miller S,LEW05 AM,7:35:00 AM,7:21:12 AM,,7:21:12 AM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,860,Moore A,MAR01 AM,7:35:00 AM,7:12:55 AM,,7:12:55 AM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,861,Davis R,MAR02 AM,7:35:00 AM,7:19:14 AM,,7:19:14 AM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,862,Williams M,MAR03 AM,7:35:00 AM,7:46:02 AM,,7:46:02 AM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,863,Moore A,MAR04 AM,7:35:00 AM,7:26:50 AM,,7:26:50 AM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,864,Miller S,MAR05 AM,7:35:00 AM,7:41:51 AM,,7:41:51 AM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,870,Anderson C,REY01 AM,7:35:00 AM,7:18:00 AM,,7:18:00 AM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,871,Wilson J,REY02 AM,7:35:00 AM,,,7:25:20 AM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,872,Miller S,REY03 AM,7:35:00 AM,7:27:08 AM,,7:27:08 AM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,873,Moore A,REY04 AM,7:35:00 AM,7:13:26 AM,,7:13:26 AM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,874,Johnson T,REY05 AM,7:35:00 AM,7:24:28 AM,,7:24:28 AM,,,
8/13/2025 12:00:00 AM,Westfield Middle School,880,Moore A,WES01 AM,8:05:00 AM,7:57:54 AM,,7:57:54 AM,,,
8/13/2025 12:00:00 AM,Westfield Middle School,881,Wilson J,WES02 AM,8:05:00 AM,7:56:50 AM,,7:56:50 AM,,,
8/13/2025 12:00:00 AM,Westfield Middle School,882,Brown K,WES03 AM,8:05:00 AM,8:15:00 AM,,8:15:00 AM,,,
8/13/2025 12:00:00 AM,Westfield Middle School,883,Johnson T,WES04 AM,8:05:00 AM,7:53:37 AM,,7:53:37 AM,,,
8/13/2025 12:00:00 AM,Lakewood Middle School,890,Taylor B,LAK01 AM,8:05:00 AM,7:44:37 AM,,7:44:37 AM,,,
8/13/2025 12:00:00 AM,Lakewood Middle School,891,Taylor B,LAK02 AM,8:05:00 AM,8:00:03 AM,,8:00:03 AM,,,
8/13/2025 12:00:00 AM,Lakewood Middle School,892,Williams M,LAK03 AM,8:05:00 AM,7:56:04 AM,,7:56:04 AM,,,
8/13/2025 12:00:00 AM,Lakewood Middle School,893,Miller S,LAK04 AM,8:05:00 AM,7:41:27 AM,,7:41:27 AM,,,
8/13/2025 12:00:00 AM,Riverside Middle School,900,Davis R,RIV01 AM,8:05:00 AM,7:46:25 AM,,7:46:25 AM,,,
8/13/2025 12:00:00 AM,Riverside Middle School,901,Taylor B,RIV02 AM,8:05:00 AM,7:58:05 AM,,7:58:05 AM,,,
8/13/2025 12:00:00 AM,Riverside Middle School,902,Williams M,RIV03 AM,8:05:00 AM,7:47:55 AM,,7:47:55 AM,,,
8/13/2025 12:00:00 AM,Riverside Middle School,903,Taylor B,RIV04 AM,8:05:00 AM,7:57:22 AM,,7:57:22 AM,,,
8/13/2025 12:00:00 AM,Metro High School,910,Thomas D,MET01 AM,8:55:00 AM,,,8:30:01 AM,,,
8/13/2025 12:00:00 AM,Metro High School,911,Johnson T,MET02 AM,8:55:00 AM,8:46:36 AM,,8:46:36 AM,,,
8/13/2025 12:00:00 AM,Metro High School,912,Moore A,MET03 AM,8:55:00 AM,8:45:23 AM,,8:45:23 AM,,,
8/13/2025 12:00:00 AM,Northgate High School,920,Thomas D,NOR01 AM,8:55:00 AM,8:48:17 AM,,8:48:17 AM,,,
8/13/2025 12:00:00 AM,Northgate High School,921,Wilson J,NOR02 AM,8:55:00 AM,8:41:43 AM,,8:41:43 AM,,,
8/13/2025 12:00:00 AM,Northgate High School,922,Johnson T,NOR03 AM,8:55:00 AM,8:44:49 AM,,8:44:49 AM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,800,Moore A,AND01 AM,7:35:00 AM,7:23:32 AM,,7:23:32 AM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,801,Williams M,AND02 AM,7:35:00 AM,7:12:27 AM,,7:12:27 AM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,802,Wilson J,AND03 AM,7:35:00 AM,7:27:15 AM,,7:27:15 AM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,803,Brown K,AND04 AM,7:35:00 AM,7:10:07 AM,,7:10:07 AM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,804,Williams M,AND05 AM,7:35:00 AM,7:24:11 AM,,7:24:11 AM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,810,Thomas D,BAM01 AM,7:35:00 AM,7:12:41 AM,,7:12:41 AM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,811,Taylor B,BAM02 AM,7:35:00 AM,7:22:37 AM,,7:22:37 AM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,812,Williams M,BAM03 AM,7:35:00 AM,7:14:24 AM,,7:14:24 AM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,813,Davis R,BAM04 AM,7:35:00 AM,7:15:32 AM,,7:15:32 AM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,814,Davis R,BAM05 AM,7:35:00 AM,7:16:33 AM,,7:16:33 AM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,820,Thomas D,COO01 AM,7:35:00 AM,7:10:41 AM,,7:10:41 AM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,821,Brown K,COO02 AM,7:35:00 AM,7:12:42 AM,,7:12:42 AM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,822,Williams M,COO03 AM,7:35:00 AM,7:18:41 AM,,7:18:41 AM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,823,Moore A,COO04 AM,7:35:00 AM,7:30:23 AM,,7:30:23 AM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,824,Williams M,COO05 AM,7:35:00 AM,7:27:32 AM,,7:27:32 AM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,830,Brown K,HER01 AM,7:35:00 AM,7:11:51 AM,,7:11:51 AM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,831,Miller S,HER02 AM,7:35:00 AM,7:16:14 AM,,7:16:14 AM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,832,Taylor B,HER03 AM,7:35:00 AM,7:18:32 AM,,7:18:32 AM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,833,Taylor B,HER04 AM,7:35:00 AM,7:13:59 AM,,7:13:59 AM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,834,Anderson C,HER05 AM,7:35:00 AM,7:17:05 AM,,7:17:05 AM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,840,Anderson C,JEN01 AM,7:35:00 AM,7:18:05 AM,,7:18:05 AM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,841,Johnson T,JEN02 AM,7:35:00 AM,7:15:44 AM,,7:15:44 AM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,842,Thomas D,JEN03 AM,7:35:00 AM,7:27:49 AM,,7:27:49 AM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,843,Williams M,JEN04 AM,7:35:00 AM,7:43:38 AM,,7:43:38 AM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,844,Davis R,JEN05 AM,7:35:00 AM,7:25:42 AM,,7:25:42 AM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,850,Johnson T,LEW01 AM,7:35:00 AM,7:15:02 AM,,7:15:02 AM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,851,Williams M,LEW02 AM,7:35:00 AM,7:47:48 AM,,7:47:48 AM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,852,Taylor B,LEW03 AM,7:35:00 AM,7:26:04 AM,,7:26:04 AM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,853,Miller S,LEW04 AM,7:35:00 AM,7:13:30 AM,,7:13:30 AM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,854,Wilson J,LEW05 AM,7:35:00 AM,7:18:47 AM,,7:18:47 AM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,860,Williams M,MAR01 AM,7:35:00 AM,7:28:27 AM,,7:28:27 AM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,861,Taylor B,MAR02 AM,7:35:00 AM,7:17:10 AM,,7:17:10 AM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,862,Johnson T,MAR03 AM,7:35:00 AM,7:10:25 AM,,7:10:25 AM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,863,Williams M,MAR04 AM,7:35:00 AM,7:10:23 AM,,7:10:23 AM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,864,Williams M,MAR05 AM,7:35:00 AM,7:14:23 AM,,7:14:23 AM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,870,Anderson C,REY01 AM,7:35:00 AM,7:22:45 AM,,7:22:45 AM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,871,Brown K,REY02 AM,7:35:00 AM,7:43:05 AM,,7:43:05 AM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,872,Brown K,REY03 AM,7:35:00 AM,7:10:11 AM,,7:10:11 AM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,873,Wilson J,REY04 AM,7:35:00 AM,7:19:29 AM,,7:19:29 AM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,874,Moore A,REY05 AM,7:35:00 AM,7:12:04 AM,,7:12:04 AM,,,
8/14/2025 12:00:00 AM,Westfield Middle School,880,Anderson C,WES01 AM,8:05:00 AM,7:55:49 AM,,7:55:49 AM,,,
8/14/2025 12:00:00 AM,Westfield Middle School,881,Brown K,WES02 AM,8:05:00 AM,7:53:22 AM,,7:53:22 AM,,,
8/14/2025 12:00:00 AM,Westfield Middle School,882,Brown K,WES03 AM,8:05:00 AM,7:41:34 AM,,7:41:34 AM,,,
8/14/2025 12:00:00 AM,Westfield Middle School,883,Thomas D,WES04 AM,8:05:00 AM,8:00:05 AM,,8:00:05 AM,,,
8/14/2025 12:00:00 AM,Lakewood Middle School,890,Anderson C,LAK01 AM,8:05:00 AM,7:51:30 AM,,7:51:30 AM,,,
8/14/2025 12:00:00 AM,Lakewood Middle School,891,Taylor B,LAK02 AM,8:05:00 AM,7:41:09 AM,,7:41:09 AM,,,
8/14/2025 12:00:00 AM,Lakewood Middle School,892,Anderson C,LAK03 AM,8:05:00 AM,7:53:29 AM,,7:53:29 AM,,,
8/14/2025 12:00:00 AM,Lakewood Middle School,893,Davis R,LAK04 AM,8:05:00 AM,8:20:10 AM,,8:20:10 AM,,,
8/14/2025 12:00:00 AM,Riverside Middle School,900,Miller S,RIV01 AM,8:05:00 AM,7:58:25 AM,,7:58:25 AM,,,
8/14/2025 12:00:00 AM,Riverside Middle School,901,Taylor B,RIV02 AM,8:05:00 AM,8:00:54 AM,,8:00:54 AM,,,
8/14/2025 12:00:00 AM,Riverside Middle School,902,Johnson T,RIV03 AM,8:05:00 AM,7:54:23 AM,,7:54:23 AM,,,
8/14/2025 12:00:00 AM,Riverside Middle School,903,Thomas D,RIV04 AM,8:05:00 AM,7:57:25 AM,,7:57:25 AM,,,
8/14/2025 12:00:00 AM,Metro High School,910,Anderson C,MET01 AM,8:55:00 AM,8:49:08 AM,,8:49:08 AM,,,
8/14/2025 12:00:00 AM,Metro High School,911,Thomas D,MET02 AM,8:55:00 AM,8:38:39 AM,,8:38:39 AM,,,
8/14/2025 12:00:00 AM,Metro High School,912,Taylor B,MET03 AM,8:55:00 AM,9:01:21 AM,,9:01:21 AM,,,
8/14/2025 12:00:00 AM,Northgate High School,920,Taylor B,NOR01 AM,8:55:00 AM,8:30:50 AM,,8:30:50 AM,,,
8/14/2025 12:00:00 AM,Northgate High School,921,Thomas D,NOR02 AM,8:55:00 AM,8:38:09 AM,,8:38:09 AM,,,
8/14/2025 12:00:00 AM,Northgate High School,922,Moore A,NOR03 AM,8:55:00 AM,8:44:26 AM,,8:44:26 AM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,800,Davis R,AND01 AM,7:35:00 AM,7:15:33 AM,,7:15:33 AM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,801,Taylor B,AND02 AM,7:35:00 AM,7:23:17 AM,,7:23:17 AM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,802,Taylor B,AND03 AM,7:35:00 AM,7:22:18 AM,,7:22:18 AM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,803,Johnson T,AND04 AM,7:35:00 AM,7:28:22 AM,,7:28:22 AM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,804,Miller S,AND05 AM,7:35:00 AM,7:11:47 AM,,7:11:47 AM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,810,Moore A,BAM01 AM,7:35:00 AM,7:15:06 AM,,7:15:06 AM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,811,Davis R,BAM02 AM,7:35:00 AM,7:21:20 AM,,7:21:20 AM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,812,Brown K,BAM03 AM,7:35:00 AM,7:25:59 AM,,7:25:59 AM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,813,Miller S,BAM04 AM,7:35:00 AM,7:27:59 AM,,7:27:59 AM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,814,Anderson C,BAM05 AM,7:35:00 AM,7:24:51 AM,,7:24:51 AM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,820,Miller S,COO01 AM,7:35:00 AM,7:24:11 AM,,7:24:11 AM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,821,Brown K,COO02 AM,7:35:00 AM,7:23:00 AM,,7:23:00 AM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,822,Miller S,COO03 AM,7:35:00 AM,7:23:03 AM,,7:23:03 AM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,823,Williams M,COO04 AM,7:35:00 AM,7:21:23 AM,,7:21:23 AM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,824,Anderson C,COO05 AM,7:35:00 AM,7:48:34 AM,,7:48:34 AM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,830,Anderson C,HER01 AM,7:35:00 AM,7:28:58 AM,,7:28:58 AM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,831,Wilson J,HER02 AM,7:35:00 AM,7:16:07 AM,,7:16:07 AM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,832,Anderson C,HER03 AM,7:35:00 AM,7:12:03 AM,,7:12:03 AM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,833,Williams M,HER04 AM,7:35:00 AM,7:19:44 AM,,7:19:44 AM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,834,Brown K,HER05 AM,7:35:00 AM,7:10:26 AM,,7:10:26 AM,,,
8/15/2025 12:00:00 AM,Jenkins Elementary,840,Wilson J,JEN01 AM,7:35:00 AM,7:13:25 AM,,7:13:25 AM,,,
