Date,Campus,Bus,Driver,Route,Scheduled Time,Entry Time,Exit Time,Last Load Time,Time Difference between Entry Time and Scheduled Time,Time Difference between Last Load Time and Scheduled Time,NumberLoadedAtCampus
8/13/2025 12:00:00 AM,Anderson Elementary,901,Anderson C,AND02 PM,2:40:00 PM,2:55:07 PM,,2:55:07 PM,,,
8/13/2025 12:00:00 AM,Anderson Elementary,902,Davis R,AND03 PM,2:40:00 PM,2:48:53 PM,,2:48:53 PM,,,
8/13/2025 12:00:00 AM,Anderson Elementary,903,Brown K,AND04 PM,2:40:00 PM,2:49:40 PM,,2:49:40 PM,,,
8/13/2025 12:00:00 AM,Anderson Elementary,904,Johnson T,AND05 PM,2:40:00 PM,3:00:07 PM,,3:00:07 PM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,910,Williams M,BAM01 PM,2:40:00 PM,2:52:07 PM,,2:52:07 PM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,911,Thomas D,BAM02 PM,2:40:00 PM,3:03:27 PM,,3:03:27 PM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,912,Thomas D,BAM03 PM,2:40:00 PM,2:50:15 PM,,2:50:15 PM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,913,Johnson T,BAM04 PM,2:40:00 PM,3:07:55 PM,,3:07:55 PM,,,
8/13/2025 12:00:00 AM,Bammel Elementary,914,Miller S,BAM05 PM,2:40:00 PM,2:52:41 PM,,2:52:41 PM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,920,Brown K,COO01 PM,2:40:00 PM,2:48:29 PM,,2:48:29 PM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,921,Anderson C,COO02 PM,2:40:00 PM,2:53:01 PM,,2:53:01 PM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,922,Johnson T,COO03 PM,2:40:00 PM,3:00:33 PM,,3:00:33 PM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,923,Thomas D,COO04 PM,2:40:00 PM,2:48:54 PM,,2:48:54 PM,,,
8/13/2025 12:00:00 AM,Cooper Elementary,924,Taylor B,COO05 PM,2:40:00 PM,2:53:20 PM,,2:53:20 PM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,930,Anderson C,HER01 PM,2:40:00 PM,3:01:23 PM,,3:01:23 PM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,931,Taylor B,HER02 PM,2:40:00 PM,,,3:28:51 PM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,932,Davis R,HER03 PM,2:40:00 PM,2:48:29 PM,,2:48:29 PM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,933,Miller S,HER04 PM,2:40:00 PM,2:49:24 PM,,2:49:24 PM,,,
8/13/2025 12:00:00 AM,Heritage Elementary,934,Brown K,HER05 PM,2:40:00 PM,3:27:17 PM,,3:27:17 PM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,940,Miller S,JEN01 PM,2:40:00 PM,2:56:21 PM,,2:56:21 PM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,941,Taylor B,JEN02 PM,2:40:00 PM,2:58:02 PM,,2:58:02 PM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,942,Moore A,JEN03 PM,2:40:00 PM,3:03:21 PM,,3:03:21 PM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,943,Anderson C,JEN04 PM,2:40:00 PM,2:53:21 PM,,2:53:21 PM,,,
8/13/2025 12:00:00 AM,Jenkins Elementary,944,Williams M,JEN05 PM,2:40:00 PM,3:00:55 PM,,3:00:55 PM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,950,Davis R,LEW01 PM,2:40:00 PM,3:07:55 PM,,3:07:55 PM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,951,Miller S,LEW02 PM,2:40:00 PM,2:49:15 PM,,2:49:15 PM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,952,Brown K,LEW03 PM,2:40:00 PM,3:03:09 PM,,3:03:09 PM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,953,Miller S,LEW04 PM,2:40:00 PM,2:56:37 PM,,2:56:37 PM,,,
8/13/2025 12:00:00 AM,Lewis Elementary,954,Miller S,LEW05 PM,2:40:00 PM,3:03:22 PM,,3:03:22 PM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,960,Moore A,MAR01 PM,2:40:00 PM,3:00:53 PM,,3:00:53 PM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,961,Davis R,MAR02 PM,2:40:00 PM,3:08:49 PM,,3:08:49 PM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,962,Williams M,MAR03 PM,2:40:00 PM,3:08:08 PM,,3:08:08 PM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,963,Moore A,MAR04 PM,2:40:00 PM,2:53:53 PM,,2:53:53 PM,,,
8/13/2025 12:00:00 AM,Marshall Elementary,964,Miller S,MAR05 PM,2:40:00 PM,2:52:55 PM,,2:52:55 PM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,970,Anderson C,REY01 PM,2:40:00 PM,3:08:43 PM,,3:08:43 PM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,971,Wilson J,REY02 PM,2:40:00 PM,3:18:41 PM,,3:18:41 PM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,972,Miller S,REY03 PM,2:40:00 PM,3:14:06 PM,,3:14:06 PM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,973,Moore A,REY04 PM,2:40:00 PM,2:48:53 PM,,2:48:53 PM,,,
8/13/2025 12:00:00 AM,Reynolds Elementary,974,Johnson T,REY05 PM,2:40:00 PM,3:06:23 PM,,3:06:23 PM,,,
8/13/2025 12:00:00 AM,Westfield Middle School,980,Moore A,WES01 PM,3:10:00 PM,3:35:38 PM,,3:35:38 PM,,,
8/13/2025 12:00:00 AM,Westfield Middle School,981,Wilson J,WES02 PM,3:10:00 PM,3:21:37 PM,,3:21:37 PM,,,
8/13/2025 12:00:00 AM,Westfield Middle School,982,Brown K,WES03 PM,3:10:00 PM,3:20:07 PM,,3:20:07 PM,,,
8/13/2025 12:00:00 AM,Westfield Middle School,983,Johnson T,WES04 PM,3:10:00 PM,3:38:26 PM,,3:38:26 PM,,,
8/13/2025 12:00:00 AM,Lakewood Middle School,990,Taylor B,LAK01 PM,3:10:00 PM,3:42:46 PM,,3:42:46 PM,,,
8/13/2025 12:00:00 AM,Lakewood Middle School,991,Taylor B,LAK02 PM,3:10:00 PM,3:30:45 PM,,3:30:45 PM,,,
8/13/2025 12:00:00 AM,Lakewood Middle School,992,Williams M,LAK03 PM,3:10:00 PM,3:37:20 PM,,3:37:20 PM,,,
8/13/2025 12:00:00 AM,Lakewood Middle School,993,Miller S,LAK04 PM,3:10:00 PM,3:32:46 PM,,3:32:46 PM,,,
8/13/2025 12:00:00 AM,Riverside Middle School,1000,Davis R,RIV01 PM,3:10:00 PM,3:36:16 PM,,3:36:16 PM,,,
8/13/2025 12:00:00 AM,Riverside Middle School,1001,Taylor B,RIV02 PM,3:10:00 PM,3:16:37 PM,,3:16:37 PM,,,
8/13/2025 12:00:00 AM,Riverside Middle School,1002,Williams M,RIV03 PM,3:10:00 PM,3:26:06 PM,,3:26:06 PM,,,
8/13/2025 12:00:00 AM,Riverside Middle School,1003,Taylor B,RIV04 PM,3:10:00 PM,3:33:14 PM,,3:33:14 PM,,,
8/13/2025 12:00:00 AM,Metro High School,1010,Thomas D,MET01 PM,3:55:00 PM,4:22:48 PM,,4:22:48 PM,,,
8/13/2025 12:00:00 AM,Metro High School,1011,Johnson T,MET02 PM,3:55:00 PM,4:00:05 PM,,4:00:05 PM,,,
8/13/2025 12:00:00 AM,Metro High School,1012,Moore A,MET03 PM,3:55:00 PM,4:45:05 PM,,4:45:05 PM,,,
8/13/2025 12:00:00 AM,Northgate High School,1020,Thomas D,NOR01 PM,3:55:00 PM,4:13:17 PM,,4:13:17 PM,,,
8/13/2025 12:00:00 AM,Northgate High School,1021,Wilson J,NOR02 PM,3:55:00 PM,4:01:14 PM,,4:01:14 PM,,,
8/13/2025 12:00:00 AM,Northgate High School,1022,Johnson T,NOR03 PM,3:55:00 PM,4:00:31 PM,,4:00:31 PM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,900,Moore A,AND01 PM,2:40:00 PM,3:08:02 PM,,3:08:02 PM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,901,Williams M,AND02 PM,2:40:00 PM,2:45:20 PM,,2:45:20 PM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,902,Wilson J,AND03 PM,2:40:00 PM,2:54:47 PM,,2:54:47 PM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,903,Brown K,AND04 PM,2:40:00 PM,3:22:46 PM,,3:22:46 PM,,,
8/14/2025 12:00:00 AM,Anderson Elementary,904,Williams M,AND05 PM,2:40:00 PM,3:31:31 PM,,3:31:31 PM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,910,Thomas D,BAM01 PM,2:40:00 PM,3:31:20 PM,,3:31:20 PM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,911,Taylor B,BAM02 PM,2:40:00 PM,2:59:02 PM,,2:59:02 PM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,912,Williams M,BAM03 PM,2:40:00 PM,2:46:28 PM,,2:46:28 PM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,913,Davis R,BAM04 PM,2:40:00 PM,2:55:45 PM,,2:55:45 PM,,,
8/14/2025 12:00:00 AM,Bammel Elementary,914,Davis R,BAM05 PM,2:40:00 PM,2:54:24 PM,,2:54:24 PM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,920,Thomas D,COO01 PM,2:40:00 PM,2:57:18 PM,,2:57:18 PM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,921,Brown K,COO02 PM,2:40:00 PM,3:33:42 PM,,3:33:42 PM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,922,Williams M,COO03 PM,2:40:00 PM,3:08:43 PM,,3:08:43 PM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,923,Moore A,COO04 PM,2:40:00 PM,3:26:12 PM,,3:26:12 PM,,,
8/14/2025 12:00:00 AM,Cooper Elementary,924,Williams M,COO05 PM,2:40:00 PM,3:04:08 PM,,3:04:08 PM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,930,Brown K,HER01 PM,2:40:00 PM,3:06:46 PM,,3:06:46 PM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,931,Miller S,HER02 PM,2:40:00 PM,3:39:53 PM,,3:39:53 PM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,932,Taylor B,HER03 PM,2:40:00 PM,3:04:08 PM,,3:04:08 PM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,933,Taylor B,HER04 PM,2:40:00 PM,2:47:48 PM,,2:47:48 PM,,,
8/14/2025 12:00:00 AM,Heritage Elementary,934,Anderson C,HER05 PM,2:40:00 PM,,,2:54:25 PM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,940,Anderson C,JEN01 PM,2:40:00 PM,3:37:45 PM,,3:37:45 PM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,941,Johnson T,JEN02 PM,2:40:00 PM,2:47:01 PM,,2:47:01 PM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,942,Thomas D,JEN03 PM,2:40:00 PM,2:58:40 PM,,2:58:40 PM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,943,Williams M,JEN04 PM,2:40:00 PM,2:49:18 PM,,2:49:18 PM,,,
8/14/2025 12:00:00 AM,Jenkins Elementary,944,Davis R,JEN05 PM,2:40:00 PM,3:01:34 PM,,3:01:34 PM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,950,Johnson T,LEW01 PM,2:40:00 PM,2:56:50 PM,,2:56:50 PM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,951,Williams M,LEW02 PM,2:40:00 PM,3:05:11 PM,,3:05:11 PM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,952,Taylor B,LEW03 PM,2:40:00 PM,2:46:50 PM,,2:46:50 PM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,953,Miller S,LEW04 PM,2:40:00 PM,2:46:55 PM,,2:46:55 PM,,,
8/14/2025 12:00:00 AM,Lewis Elementary,954,Wilson J,LEW05 PM,2:40:00 PM,3:26:44 PM,,3:26:44 PM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,960,Williams M,MAR01 PM,2:40:00 PM,2:48:05 PM,,2:48:05 PM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,961,Taylor B,MAR02 PM,2:40:00 PM,2:56:39 PM,,2:56:39 PM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,962,Johnson T,MAR03 PM,2:40:00 PM,3:04:43 PM,,3:04:43 PM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,963,Williams M,MAR04 PM,2:40:00 PM,3:06:28 PM,,3:06:28 PM,,,
8/14/2025 12:00:00 AM,Marshall Elementary,964,Williams M,MAR05 PM,2:40:00 PM,3:11:47 PM,,3:11:47 PM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,970,Anderson C,REY01 PM,2:40:00 PM,3:00:12 PM,,3:00:12 PM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,971,Brown K,REY02 PM,2:40:00 PM,2:47:35 PM,,2:47:35 PM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,972,Brown K,REY03 PM,2:40:00 PM,2:51:50 PM,,2:51:50 PM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,973,Wilson J,REY04 PM,2:40:00 PM,2:47:04 PM,,2:47:04 PM,,,
8/14/2025 12:00:00 AM,Reynolds Elementary,974,Moore A,REY05 PM,2:40:00 PM,2:59:43 PM,,2:59:43 PM,,,
8/14/2025 12:00:00 AM,Westfield Middle School,980,Anderson C,WES01 PM,3:10:00 PM,3:42:53 PM,,3:42:53 PM,,,
8/14/2025 12:00:00 AM,Westfield Middle School,981,Brown K,WES02 PM,3:10:00 PM,3:17:16 PM,,3:17:16 PM,,,
8/14/2025 12:00:00 AM,Westfield Middle School,982,Brown K,WES03 PM,3:10:00 PM,3:45:10 PM,,3:45:10 PM,,,
8/14/2025 12:00:00 AM,Westfield Middle School,983,Thomas D,WES04 PM,3:10:00 PM,3:33:26 PM,,3:33:26 PM,,,
8/14/2025 12:00:00 AM,Lakewood Middle School,990,Anderson C,LAK01 PM,3:10:00 PM,3:37:03 PM,,3:37:03 PM,,,
8/14/2025 12:00:00 AM,Lakewood Middle School,991,Taylor B,LAK02 PM,3:10:00 PM,3:52:25 PM,,3:52:25 PM,,,
8/14/2025 12:00:00 AM,Lakewood Middle School,992,Anderson C,LAK03 PM,3:10:00 PM,3:16:18 PM,,3:16:18 PM,,,
8/14/2025 12:00:00 AM,Lakewood Middle School,993,Davis R,LAK04 PM,3:10:00 PM,3:20:31 PM,,3:20:31 PM,,,
8/14/2025 12:00:00 AM,Riverside Middle School,1000,Miller S,RIV01 PM,3:10:00 PM,3:16:03 PM,,3:16:03 PM,,,
8/14/2025 12:00:00 AM,Riverside Middle School,1001,Taylor B,RIV02 PM,3:10:00 PM,3:26:48 PM,,3:26:48 PM,,,
8/14/2025 12:00:00 AM,Riverside Middle School,1002,Johnson T,RIV03 PM,3:10:00 PM,3:32:17 PM,,3:32:17 PM,,,
8/14/2025 12:00:00 AM,Riverside Middle School,1003,Thomas D,RIV04 PM,3:10:00 PM,4:05:09 PM,,4:05:09 PM,,,
8/14/2025 12:00:00 AM,Metro High School,1010,Anderson C,MET01 PM,3:55:00 PM,4:19:57 PM,,4:19:57 PM,,,
8/14/2025 12:00:00 AM,Metro High School,1011,Thomas D,MET02 PM,3:55:00 PM,4:16:34 PM,,4:16:34 PM,,,
8/14/2025 12:00:00 AM,Metro High School,1012,Taylor B,MET03 PM,3:55:00 PM,4:23:55 PM,,4:23:55 PM,,,
8/14/2025 12:00:00 AM,Northgate High School,1020,Taylor B,NOR01 PM,3:55:00 PM,4:01:37 PM,,4:01:37 PM,,,
8/14/2025 12:00:00 AM,Northgate High School,1021,Thomas D,NOR02 PM,3:55:00 PM,4:22:07 PM,,4:22:07 PM,,,
8/14/2025 12:00:00 AM,Northgate High School,1022,Moore A,NOR03 PM,3:55:00 PM,4:23:46 PM,,4:23:46 PM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,900,Davis R,AND01 PM,2:40:00 PM,3:21:34 PM,,3:21:34 PM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,901,Taylor B,AND02 PM,2:40:00 PM,3:33:13 PM,,3:33:13 PM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,902,Taylor B,AND03 PM,2:40:00 PM,3:23:52 PM,,3:23:52 PM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,903,Johnson T,AND04 PM,2:40:00 PM,2:51:52 PM,,2:51:52 PM,,,
8/15/2025 12:00:00 AM,Anderson Elementary,904,Miller S,AND05 PM,2:40:00 PM,3:01:14 PM,,3:01:14 PM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,910,Moore A,BAM01 PM,2:40:00 PM,3:40:10 PM,,3:40:10 PM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,911,Davis R,BAM02 PM,2:40:00 PM,3:05:36 PM,,3:05:36 PM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,912,Brown K,BAM03 PM,2:40:00 PM,3:08:55 PM,,3:08:55 PM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,913,Miller S,BAM04 PM,2:40:00 PM,3:28:33 PM,,3:28:33 PM,,,
8/15/2025 12:00:00 AM,Bammel Elementary,914,Anderson C,BAM05 PM,2:40:00 PM,2:53:45 PM,,2:53:45 PM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,920,Miller S,COO01 PM,2:40:00 PM,2:55:05 PM,,2:55:05 PM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,921,Brown K,COO02 PM,2:40:00 PM,2:55:19 PM,,2:55:19 PM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,922,Miller S,COO03 PM,2:40:00 PM,3:06:32 PM,,3:06:32 PM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,923,Williams M,COO04 PM,2:40:00 PM,2:59:47 PM,,2:59:47 PM,,,
8/15/2025 12:00:00 AM,Cooper Elementary,924,Anderson C,COO05 PM,2:40:00 PM,3:04:55 PM,,3:04:55 PM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,930,Anderson C,HER01 PM,2:40:00 PM,3:01:12 PM,,3:01:12 PM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,931,Wilson J,HER02 PM,2:40:00 PM,3:01:28 PM,,3:01:28 PM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,932,Anderson C,HER03 PM,2:40:00 PM,,,2:52:37 PM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,933,Williams M,HER04 PM,2:40:00 PM,,,3:41:11 PM,,,
8/15/2025 12:00:00 AM,Heritage Elementary,934,Brown K,HER05 PM,2:40:00 PM,3:40:24 PM,,3:40:24 PM,,,
